threshold,precision,recall
209.0,0.0,0.0
208.0,0.0,0.0
207.0,0.0,0.0
206.0,0.3178217821782178,0.008916666666666666
205.0,0.39869281045751637,0.01525
204.0,0.39581831290555153,0.01525
203.0,0.3849929873772791,0.01525
202.0,0.3689516129032258,0.01525
201.0,0.390948275862069,0.025194444444444443
200.0,0.3851380042462845,0.025194444444444443
199.0,0.37807419758232597,0.025194444444444443
198.0,0.3741749174917492,0.025194444444444443
197.0,0.3606361829025845,0.025194444444444443
196.0,0.35977786592621974,0.025194444444444443
195.0,0.38918579063187675,0.034388888888888886
194.0,0.378709085347201,0.034388888888888886
193.0,0.3716601621134794,0.034388888888888886
192.0,0.3555427914991384,0.034388888888888886
191.0,0.35280706754060986,0.034388888888888886
190.0,0.40590695243073704,0.043138888888888886
189.0,0.39526597098498345,0.043138888888888886
188.0,0.4833948339483395,0.06186111111111111
187.0,0.4976687614027975,0.06819444444444445
186.0,0.47102839600920954,0.06819444444444445
185.0,0.4495513642190075,0.06819444444444445
184.0,0.4576388888888889,0.07322222222222222
183.0,0.5016627078384798,0.088
182.0,0.49738154613466334,0.11080555555555556
181.0,0.49939172749391725,0.11402777777777778
180.0,0.4958927277120077,0.11402777777777778
179.0,0.5196732627703635,0.12547222222222223
178.0,0.529646342743205,0.14019444444444445
177.0,0.5381493506493507,0.14733333333333334
176.0,0.5385303768519439,0.15044444444444444
175.0,0.5375682382133995,0.15044444444444444
174.0,0.5356012658227848,0.15044444444444444
173.0,0.5331233389113101,0.15044444444444444
172.0,0.5313971742543171,0.15044444444444444
171.0,0.526592124453087,0.15044444444444444
170.0,0.5160060975609756,0.15044444444444444
169.0,0.5138519924098671,0.15044444444444444
168.0,0.5072501519492923,0.16227777777777777
167.0,0.5069860279441117,0.16227777777777777
166.0,0.519617791307289,0.17069444444444445
165.0,0.5373801397692183,0.18369444444444444
164.0,0.5361602075563483,0.18369444444444444
163.0,0.5301951068442242,0.1902222222222222
162.0,0.516900558322016,0.19030555555555556
161.0,0.5164329865822403,0.19030555555555556
160.0,0.5120834214049179,0.2018888888888889
159.0,0.5342659223888627,0.22066666666666668
158.0,0.5309805494285141,0.22066666666666668
157.0,0.5288595965648093,0.22066666666666668
156.0,0.5297830374753452,0.22383333333333333
155.0,0.5281510126499311,0.22383333333333333
154.0,0.533773719318697,0.22894444444444445
153.0,0.5334282570707397,0.22894444444444445
152.0,0.5290115532734275,0.22894444444444445
151.0,0.5279272354599026,0.22894444444444445
150.0,0.5263426783319497,0.22894444444444445
149.0,0.5251353934374005,0.22894444444444445
148.0,0.5243336090082066,0.22894444444444445
147.0,0.517541677034088,0.2311111111111111
146.0,0.5160009923096006,0.2311111111111111
145.0,0.5101345396862699,0.24119444444444443
144.0,0.5154579265457927,0.24638888888888888
143.0,0.5272449499236123,0.25883333333333336
142.0,0.5254610049061073,0.25883333333333336
141.0,0.5242489028918645,0.25883333333333336
140.0,0.5117811830614599,0.25883333333333336
139.0,0.5096259024283527,0.25883333333333336
138.0,0.528141258079773,0.2791666666666667
137.0,0.5404674423351704,0.2941944444444444
136.0,0.5388864009553664,0.30083333333333334
135.0,0.5377892541463899,0.30083333333333334
134.0,0.5362713542956177,0.30083333333333334
133.0,0.5351848191342162,0.30083333333333334
132.0,0.5341026779109336,0.30083333333333334
131.0,0.5328675457587089,0.30083333333333334
130.0,0.5367994927571574,0.30572222222222223
129.0,0.5362694300518135,0.3105
128.0,0.5347813606353459,0.3105
127.0,0.5332760841562902,0.3105
126.0,0.5311223035256105,0.3105
125.0,0.5337586142670888,0.3184166666666667
124.0,0.5334605361131795,0.3184166666666667
123.0,0.532260996001454,0.3253888888888889
122.0,0.5312230737835019,0.3253888888888889
121.0,0.530861959575818,0.3253888888888889
120.0,0.5343832020997376,0.3393333333333333
119.0,0.5336828309305374,0.3393333333333333
118.0,0.5334963752292776,0.3393333333333333
117.0,0.5388538853885388,0.3492222222222222
116.0,0.5381693885301937,0.35425
115.0,0.5323954245637472,0.35425
114.0,0.5317294863242161,0.35425
113.0,0.530932556203164,0.35425
112.0,0.5539235093831657,0.38863888888888887
111.0,0.5734024833434282,0.42075
110.0,0.5714339608405327,0.42075
109.0,0.5707664481121411,0.42075
108.0,0.572184989076906,0.42925
107.0,0.5669993395464886,0.42925
106.0,0.5611826283774225,0.44077777777777777
105.0,0.5588904203997244,0.4505277777777778
104.0,0.5660677966101695,0.4638611111111111
103.0,0.5653969866260369,0.4638611111111111
102.0,0.5673609720275051,0.4721388888888889
101.0,0.5649184835985072,0.47933333333333333
100.0,0.5648742299794661,0.4890555555555556
99.0,0.5640237065513375,0.4890555555555556
98.0,0.5628516624040921,0.4890555555555556
97.0,0.562635817461332,0.4890555555555556
96.0,0.5605152601013221,0.5040277777777777
95.0,0.56737114185799,0.5182777777777777
94.0,0.565668202764977,0.5182777777777777
93.0,0.5642654085767859,0.5182777777777777
92.0,0.5630903878074544,0.5182777777777777
91.0,0.5624114544084401,0.5182777777777777
90.0,0.5618694853494746,0.5182777777777777
89.0,0.5610922322797943,0.5182777777777777
88.0,0.558197229687823,0.525
87.0,0.5601653752746617,0.5381944444444444
86.0,0.5570896154497713,0.5480833333333334
85.0,0.5543268435276598,0.5583611111111111
84.0,0.5526508474576272,0.5660833333333334
83.0,0.5688610240334379,0.6048888888888889
82.0,0.5777982308124968,0.6277777777777778
81.0,0.5747126436781609,0.6277777777777778
80.0,0.5740703109124162,0.6277777777777778
79.0,0.5841694537346711,0.655
78.0,0.5833333333333334,0.6603333333333333
